Game_title,Game_ID,Min_players,Max_players,Playing_time,Year_published,Item_type,Publisher,Language,Rent_price,Price,Tournament_game
1944: Race to the Rhine,148601,1,3,90,2014,standalone,,,20,200,0.0
1989: Jesień Narodów,26997,2,2,150,2013,standalone,Bard Centrum Gier,Polish,10,100,0.0
5 sekund bez cenzury,240223,3,30,60,2017,standalone,Trefl,Polish,8,80,0.0
5 sekund edycja specjalna,279052,3,6,0,2015,standalone,Trefl,Polish,8,80,0.0
5 Sekund Junior,261307,3,99,0,2014,standalone,Trefl,Polish,8,80,0.0
7 Cudów Świata,68448,2,7,30,2011,standalone,Rebel Sp. z o.o.,Polish,15,150,1.0
7 Cudów Świata (Druga Edycja),316377,3,7,30,2020,standalone,Rebel Sp. z o.o.; Repos Production,Polish,20,200,0.0
7 Cudów Świata: Armada,247315,3,7,40,2018,expansion,Rebel Sp. z o.o.,Polish,10,100,0.0
7 Cudów Świata: Pojedynek,173346,2,2,30,2015,standalone,Rebel Sp. z o.o.; Repos Production,Polish,12,120,0.0
7 Cudów Świata: Pojedynek – Panteon,202976,2,2,30,2016,expansion,Rebel Sp. z o.o.; Repos Production,Polish,8,80,0.0
7 Ronin,154173,2,2,30,2013,standalone,Badger's Nest,Polish,10,100,0.0
7 Słów,208480,1,6,20,2020,standalone,Formal Ferret Games; FoxGames,Polish,8,80,0.0
7 złotych miast,281020,2,4,20,2021,standalone,Nasza Księgarnia,Polish,8,80,0.0
Abominacja: Dziedzictwo Frankensteina,239472,2,4,180,2019,standalone,Rebel Sp. z o.o.,Polish,20,200,0.0
Abyss,155987,2,4,60,2014,standalone,Bombyx; Rebel Sp. z o.o.,Polish,17,170,0.0
Abyss: Kraken,180341,2,4,60,2015,expansion,Rebel Sp. z o.o.,Polish,9,90,0.0
Abyss: Lewiatan,232197,2,5,60,2018,expansion,Rebel Sp. z o.o.,Polish,9,90,0.0
Aeon's End,191189,1,4,60,2018,standalone,Portal Games; Indie Boards & Cards,Polish,16,160,0.0
Agricola,31260,1,5,150,2008,standalone,Lacerta; Lookout Games,Polish,20,200,0.0
Alchemicy,161970,2,4,120,2015,standalone,Rebel Sp. z o.o.,Polish,15,150,0.0
Alias Kobiety vs Mężczyźni,204138,4,0,60,2016,standalone,Tactic,Polish,10,100,0.0
Altiplano,234487,2,5,120,2018,standalone,Baldar; dlp games,Polish,20,200,0.0
Altiplano: Podróżnik,257047,2,5,120,2018,expansion,Baldar; dlp games,Polish,10,100,0.0
Amazonia,295607,1,4,30,2021,standalone,Lucky Duck Games,Polish,8,80,0.0
